"","time","tavg","tmin","tmax","prcp","snow","wdir","wspd","wpgt","pres"
"307","1973-11-03",9.5,5.2,14.7,0,0,NA,7.3,16.6,NA
"308","1973-11-04",10.4,5.2,15.8,0,0,149.8,12.1,27.7,1022.1
"309","1973-11-05",11.2,10.2,12.4,17.3,0,148.3,27.5,46.4,1018.8
"310","1973-11-06",15.1,11.9,18,2.8,0,139.1,21.4,44.3,1020.7
"311","1973-11-07",16.8,15.2,19.7,1.3,0,157.5,16.2,33.5,1020.7
"312","1973-11-08",14.5,10.8,18,0,0,NA,6.3,22.3,1018.6
"313","1973-11-09",14.1,10.8,16.9,5.1,0,NA,14.8,46.4,NA
"314","1973-11-10",15.8,13.6,16.9,14.2,0,NA,15.7,29.5,NA
"315","1973-11-11",15.4,13.5,16.9,19.6,0,153.2,25.1,59,1015.4
"316","1973-11-12",13.3,10.8,15.8,9.1,0,NA,23.5,48.2,1016.5
"317","1973-11-13",11.1,9.1,14.1,13.2,0,162.8,15.1,53.6,NA
"318","1973-11-14",11.4,8,15.2,0,0,NA,11,29.5,1022.1
"319","1973-11-15",12,9.1,15.2,0,0,148.3,11.6,29.5,NA
"320","1973-11-16",12.2,10.8,14.7,15,0,157.9,29.9,55.4,1013.4
"321","1973-11-17",11.8,9.7,14.1,23.4,0,161.3,25.9,57.2,1009.2
"322","1973-11-18",9.4,4.7,13.5,0,0,NA,14,46.4,1014.9
"323","1973-11-19",6.7,2.4,11.9,0,0,326.6,11.8,40.7,1023.5
"324","1973-11-20",6.6,4.1,9.1,3,0,153,20.7,42.5,1018.5
"325","1973-11-21",6.9,2.4,11.3,0,0,137.1,10.8,22.3,NA
"326","1973-11-22",8.1,4.7,11.3,0,0,121.1,11,24.1,1014.8
"327","1973-11-23",6.7,2.4,10.8,0.3,0,NA,5.9,27.7,1019.7
"328","1973-11-24",8.9,5.2,13,0.3,0,336.4,18.8,53.6,NA
"329","1973-11-25",7.4,5.2,10.2,0,0,132.6,17.3,40.7,1013.7
"330","1973-11-26",6.3,0.2,11.3,0,0,NA,4.7,14.8,1014.8
"331","1973-11-27",10.1,6.9,14.1,0,0,153.6,7.7,20.5,1026.5
"332","1973-11-28",9.8,4.7,16.3,0,0,NA,4.8,14.8,1025.9
"333","1973-11-29",10.1,7.4,13.5,8.4,0,146.8,7.3,18.4,1017.3
"334","1973-11-30",12,10.8,14.7,26.4,0,168.7,24.9,57.2,NA
"335","1973-12-01",9.3,5.8,12.4,9.4,0,179.5,17.4,42.5,1017.3
