"","time","tavg","tmin","tmax","prcp","snow","wdir","wspd","wpgt","pres"
"208","1973-07-27",19.9,17,24.8,0,0,248.3,13.3,35.3,1013.4
"209","1973-07-28",19.1,17,22,0,0,251.3,13.6,33.5,1013.2
"210","1973-07-29",18.6,16.5,22.6,0,0,248.1,12.4,29.5,1014.2
"211","1973-07-30",19.4,16.5,23.1,0,0,226.8,10.8,25.9,1015.5
"212","1973-07-31",19.4,16.5,23.1,0,0,252.5,11.4,31.3,1015.1
"213","1973-08-01",20,17,24.2,0,0,255,12.3,27.7,1014.3
"214","1973-08-02",20.3,17.6,24.8,0,0,251.1,12.1,27.7,1012.7
"215","1973-08-03",20.4,17.6,24.2,0,0,242.7,11.4,27.7,1013.1
"216","1973-08-04",19.6,18.1,23.7,0,0,253.5,10.5,27.7,1014.6
"217","1973-08-05",19,17.6,22.6,0,0,254.1,13.4,29.5,1015.3
"218","1973-08-06",19.2,17.6,22.6,0,0,259.2,13.5,33.5,1014.9
"219","1973-08-07",18.8,17,22,0,0,253,12.9,31.3,1015
"220","1973-08-08",18.9,17,22,0,0,240.4,14.7,35.3,1015.6
"221","1973-08-09",19.8,15.9,24.8,0,0,211.1,12.3,31.3,1013.5
"222","1973-08-10",19.4,17,24.8,0,0,196.1,11.2,25.9,1012.7
"223","1973-08-11",18.6,16.5,23.1,0,0,258.4,10.6,27.7,1012.3
"224","1973-08-12",18.4,15.9,21.5,0,0,247.1,11.1,33.5,1012.3
"225","1973-08-13",19.6,17,24.8,0.5,0,229.6,11,31.3,1013.7
"226","1973-08-14",20.1,17.6,25.4,0,0,239.6,10.9,25.9,1013.9
"227","1973-08-15",20,17.6,23.1,0,0,260.3,11.1,27.7,1012.7
"228","1973-08-16",19.7,17.6,23.1,0,0,261.5,12.1,29.5,1011.8
"229","1973-08-17",20.1,17.6,23.7,0,0,NA,10.7,29.5,1012.6
"230","1973-08-18",20.2,17,24.2,0,0,249,11.9,27.7,1012.9
"231","1973-08-19",22.8,18.7,29.2,0,0,267.5,11.5,29.5,1013.9
"232","1973-08-20",22.3,19.8,26.5,0,0,251.7,9.2,25.9,1014.6
